rank,title
1,뮤지컬 〈그날들〉
2,뮤지컬 〈영웅〉 10주년 기념공연
3,뮤지컬 〈지킬앤하이드〉
4,뮤지컬 킹아더（Musical King Arthur）
5,뮤지컬 〈신흥무관학교〉
6,뮤지컬 〈호프：읽히지 않은 책과 읽히지 않은 인생〉
7,뮤지컬 라이온 킹 - 부산
8,뮤지컬 〈엑스칼리버〉
9,뮤지컬 〈그날들〉 - 대구
10,뮤지컬 〈빨래〉
11,뮤지컬 〈해적〉
12,뮤지컬 〈파가니니〉
13,뮤지컬 안나 카레니나
14,푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］
14,뮤지컬 〈달과 6펜스〉
16,정동극장 기획공연〈적벽〉
17,매튜 본의 댄스뮤지컬 〈백조의 호수〉
18,낭독뮤지컬 〈어린왕자〉
19,뮤지컬 〈영웅〉 10주년 기념공연 -수원
20,뮤지컬 라이온 킹 - 서울
21,뮤지컬 김종욱찾기
22,뮤지컬 〈아랑가〉
23,뮤지컬 〈광염소나타〉
24,여명의 눈동자
25,뮤지컬 〈잭더리퍼〉 10주년 기념공연
26,뮤지컬 〈영웅〉 10주년 기념공연 - 울산
27,뮤지컬 〈엘리자벳〉- 성남
28,뮤지컬 〈엘리자벳〉- 부산
28,루드윅 : 베토벤 더 피아노
28,뮤지컬 〈시데레우스〉
31,뮤지컬 〈영웅〉 10주년 기념공연 - 부산
31,이은결 〈THE ILLUSION〉
31,뮤지컬 〈반고흐와 해바라기 소년〉
34,뮤지컬 〈엘리자벳〉- 수원
35,뮤지컬 〈엘리자벳〉- 전주
36,뮤지컬 〈메노포즈〉- 청주
37,뮤지컬〈작업의 정석〉- 대학로
38,낭독뮤지컬 〈백범〉
38,헬렌 앤 미－안산
40,뮤지컬 〈모비딕〉 LIVE
41,최현우〈THE BRAIN〉 - 안성
41,뮤지컬 〈메노포즈〉 인천
41,뮤지컬 〈1976 할란카운티〉
41,루나틱
45,뮤지컬 〈더 캐슬〉
46,판타스틱 - 서울
46,뮤지컬 그날들 - 진주
46,뮤지컬〈넌센스3〉
49,ALL NEW! 뮤지컬 〈그리스〉
49,뮤지컬 〈플래시댄스〉 - 대전
